"X..i..","source"
"Why r there so many women 😂😂","Vogue"
"1:49 he turns left","Vogue"
"Fake","Vogue"
"💕💕😂😂😂😂","Vogue"
"This one by far is my favourite 73 Questions! 😂🤣","Vogue"
"O M G !!!!!! hahahahahahhahahahahahahahah

I love him! havent laughed like this for a while now.","Vogue"
"Hahahahaha i love this way to much😂","Vogue"
"weird😂","Vogue"
"Bruh I'm dead omg","Vogue"
"He is like a robot","Vogue"
"that was really... really strange","Vogue"
"I really wanna know what drugs he is on lolol","Vogue"
"- ""What makes you smile the most?""
- ""Tickling!""
*Que All jumping out of hiding....*","Vogue"
"Hahaha! Vogue should do one with Ben Stiller? That would be cool. 😁 I love this series though!","Vogue"
"73 questions with Patrick Bateman.","Vogue"
"omg i love this","Vogue"
"This is the best one","Vogue"
"Why he behaving like this 😶😶😶","Vogue"
"73 questions with drag queens","Vogue"
"Why did I randomly find myself puckering my lips while watching this? 😂😂","Vogue"
"Dude he’s so funny.","Vogue"
"Do 73 questions with Chanel Oberlin omg","Vogue"
"this guy is genius😂😂","Vogue"
"Deadpool 73 questions please","Vogue"
"Reminds me of Ben Stiller","Vogue"
"He is talking so different and he is acting weird 

Do u guys remember night at the museum he was in it. He stared in it but he didn’t talk like this","Vogue"
"I'm laughing so hard right now! thank you for this","Vogue"
"This guy looks alot like ben stiller","Vogue"
"Hahaha good in words","Vogue"
"is he really like this on a regular basis?? a bit coocoo in the head lol","Vogue"
"Cant wait till our 73 Questions With Downerisland, Mark my words.","Vogue"
"This was so much funnier than Zoolander 2.","Vogue"
"🤣","Vogue"
"""what's on your mind right now?""
""...PASS""
XD","Vogue"
"I'D LIKE TO SEE ELEN DEGENERES DOES OZZY OSBORNE 73 QUESTIONS.","Vogue"
"THIS IS THE BEST 73 QUESTIONS.","Vogue"
"This is like 73 questions with Christian Grey","Vogue"
"This was so hilarious😂😂","Vogue"
"i love ben stiller but that wasnt so funny","Vogue"
"The best one ever. Love you Derek","Vogue"
"i don't know the name of this guy but on my own opinion ....I WAS THE BEST OF ALL","Vogue"
"Why does he look like Ben stiller in the thumbnail?","Vogue"
"Best interview so far........","Vogue"
"what is this 73 statements","Vogue"
"Bad spelling","Vogue"
"He is like Jet Packinki","Vogue"
"oh he should've answered ""the Sahara"" at 5:19","Vogue"
"Music?:-)","Vogue"
"Do The Weeknd","Vogue"
"i  wonder is real","Vogue"
"Is this where liza got some inspiration for Jet in her 73 questions vogue parody😂😂😂","Vogue"
"My god this is so cringy!","Vogue"
"CRIIIIIING","Vogue"
"IM ROLLING 😂😂😂","Vogue"
"Oh I thought this was Ben Stiller until 7 minutes lol","Vogue"
""" I don't believe in using animals for their spirits... only for their fur""","Vogue"
"I thought he's Ben Stiller lol","Vogue"
"WOW THIS LITTLE BRATS ATTITUDE IS SOOO GROSS.....very disrespectful video.","Vogue"
"She is not a Guru! She is a woman that works on what she loves.","Vogue"
"I think instead of Marie Kongo showing up to this entitled brats apartment...someone should have sent and attitude adjuster that would teach respect, common decency, and good manners which seems to be lacking quite a bit in her spoiled behavior.  I know this was shown 2 year’s ago.....but seriously this still is annoying to see.  I hope Vogue at least paid her well to put up with such utter nonsense.","Vogue"
"she don't  need Guru Marie Kondo, she is doing just fine","Vogue"
"I agree.  Mari seemed more vested in this than you!  I felt as though you were disrespecting her and her method.  And ""give it a week??""","Vogue"
"Westerners are way too privileged.","Vogue"
"When an uncultured woman meets a cultured woman","Vogue"
"Hahaha....I love the part where you said, "" I have alot of joy"". I too have lots of things that bring joy : ) The arrangement of clothes like an econ graph which you know nothing about, was funny too. Thank you for this video. It was heartwarming...I enjoyed it.","Vogue"
"I’m in the process of reading her book. I found it at a thrift store and it’s completely changed my idea of what appreciation is and they represented her entire method as a joke. No appreciation at all. In her book she even mentions clients that would make tea for both of them out of politeness and even clients that have taken her to waterfalls to meditate. Japanese culture really is very appreciative but the way vogue represented her method really left a bad taste in my mouth. I’m happy she’s getting the recognition she deserves all in all","Vogue"
"this girl seemed like she was making fun of marie's methods. kinda surprised vogue okay-ed it :/","Vogue"
"Why Chloe always look annoyed in the videos?? If she’s so annoyed why not just stay behind the camera? The video is not about her okay","Vogue"
"this sweet asian lady deserves more than this !!","Vogue"
"The house owner is rude","Vogue"
"She was just being funny, it was ok. There was some other video where a host was actually shady, but this was fine to me.","Vogue"
"rude chloe","Vogue"
"This would be useful consulting
but whether the client continues on with what she's learned is the true issue/solution
xD","Vogue"
"Watch the British video of Marie (the pool channel) THAT video showed how to properly represent Marie and RESPECT her way of organizing even when it's a culture shock.","Vogue"
"The white girl is and EDITOR oh for God's sake what kind of ""educated"" people are in America.","Vogue"
"The white girl really represented her people really badly. You hardly ever see Americans with respect these days.","Vogue"
"'Presenter' comes across as rude and disrespectful.","Vogue"
"Kondo haha","Vogue"
"You suck.","Vogue"
"Such rude and disrespectful video Vogue.","Vogue"
"How she is not trying to learn more about Marie's culture and how she is not trying to be really nice with humor can be offensive to others but I'm not hating I love vogue and respect them this is not such a good video in my opinion","Vogue"
"Aweee she’s so adorable","Vogue"
"And this rude woman is the social editor ? Ok Vogue.","Vogue"
"It didn't come off as disrespectful to me. I thought they were trying to be funny about it.","Vogue"
"I think the problem with this video was how it was mostly Chloe speaking and not enough of Marie. And also how short the video was; it didn't get into enough depth on the konmari method. Everything was just glossed over. I've noticed that with a lot of her videos.","Vogue"
"This video is just dreadful. The sheer disrespect which she shows to Marie is revolting. I mean, was that gross sarcastic undertone really necessary? Is Vogue really paying this woman just for her to be to be this rude?","Vogue"
"Thankyou gozaimasu... so rude.","Vogue"
"Chloe Malle is the kind of person that gives Americans a bad name -- crass, entitled, self-centered, and superficial. You can also tell by the intonation in her voice that she is the kind of person more interested in consumption than culture. Willing to bet that the family that raised her is no different.","Vogue"
"This is dumb","Vogue"
"hi guys. i'm Japanese　learning english. i have a qestion for you guys. why did people say this video so rude for her? i just want to know the reason. please tell me some kind people.","Vogue"
"I don’t think this girl meant to be rude to KonMarie, she is just typical no manners, unrefined, almost uncultured person.","Vogue"
"THIS WAS SO CRINGY TO WATCH! This was blatantly disrespectful towards Marie!","Vogue"
"The woman with Mary is really rude and not well behaved.","Vogue"
"0:34 Marie Kondo's reacting to the Johnny Cash shirt.","Vogue"
"Her book has been a godsend to many. I think that Candice Bergen's daughter was just being young, but I understand why people were disturbed by her tone. She really has made many people's lives better, and we do feel what is akin to a reverence for the wonderful Ms. Kondo.","Vogue"
"Sorry to be like the 200th person to comment on this, but: this was super rude and inappropriate. It was cringy and disrespectful. If I was Marie Kondo, i would want Vogue to put this down.","Vogue"
"Obviously, this editor didn't bother to read her books(or the manga)! I hope she has now. I think that the books provide a better understanding as to why her method is something to be respected. I instantly adopted her method because it only makes sense to do so after reading her books. You'd think it'd be common sense. But no. Thank you, Marie Kondo. Less really is more.","Vogue"
"Sooooo rude! If you can’t be open minded and experience other people’s culture, why are you doing this video? I would be honored to have this experience","Vogue"
"This video is really offensive and all the comments agree. But the thumbs down are just a bunch..","Vogue"
"How bitchy you look when you say ""arigato gozaimas"" take it seriously...","Vogue"
"This video is a shame! So disrespectful!","Vogue"
"true definition of a privileged ungrateful bitch","Vogue"
"Oooh man if ever I'd have the privilege of having Ms. Kondo help me sort off my stuff I'd be really grateful and just enjoy the ritual of decluttering......","Vogue"
"It's MariÉ Kondo. Not Mari Kondo. It's very disrespectful and careless to not even research the name of the person. Americans are stupid and rude. Marie introduces herself in every interview - have enough brains to at least get the name right. Marie is a genius who is helping millions, and an idiot like Chloe doesn't even deserve her presence.","Vogue"
"Sorry for my english, I´m from Mexico City living in Austin TX, I took Marie Kondo´s seminar in NY, I do have all the respect for this woman.
Chloe Malle was so not respectful in this video, when KonMari greed the house, Chloe said something like not believing in what KonMari was doing, and the way she mention the way KonMari recommends to place the clothes on the closet. Chloe cut give a smile at least one time, but not any happy face in the whole video, it´s like she was told to do that interview, but she did not wanted to do it.
Chloe: I don´t like you.
Marie KonMari Kondo: I admire You. You are a life changer for many people, Thank you, KonMari.","Vogue"
"Marie at 0:34 lol","Vogue"
"I don't think that this girl has ever even read Marie's book. And she could just say 'thank you' on English, instead of just sounding rude.","Vogue"
"How often does Marie Kondo wash floors? That's definitely not a once-in-a-lifetime event :-)","Vogue"
"That woman is Social Editor? Ok, Vogue, okey...","Vogue"
"Rude","Vogue"
"hhhhh amazing u made her a super woman. .. I think she is amazing but she doesn't do anything new. ... what happens people u don't know how to organise your own home! !!! u kidding me! !!! I felt that I am also a super hero. ..","Vogue"
"I need Marie Kondo. Please Kondo-sensei, help me.","Vogue"
"I'm obsessed with the shelving units Chloe has around her bed. Those built-ins are super cool.","Vogue"
"she is not feeling it. she is just throwing stuff kinda makes me nervous....","Vogue"
"I stopped the video when this lady said she was greeting the floor boards. According to other comments this sarcasm will continue through the whole video. Bad job!","Vogue"
"Ah the clued-out Westerner meets the Eastern Guru.  They should really try to turn this concept into a film.  Do you understand the words that are coming out of my mouth :-p","Vogue"
"girl looks like she´s making fun about the method","Vogue"
"The most disrespectful video of Marie  ever ..... That girl seemed so rude and unprofessional","Vogue"
"I'm gonna give it a day maybe. Honestly, three hours, top.","Vogue"
"I love the konmari method...really changed me permanently on how I approach cleaning, letting go of things and keeping my place tidy. This video did come off as disrespectful in my opinion...","Vogue"
"Marie Kondos face responding to the Johnny Cash tshirt","Vogue"
"Chloe comes off as rude like this was a waste of her time. I'm not trying to be mean, but if she didn't act disrespectful this would have been much more palatable. What a waste of time and effort on Marie Kondo's part. Vogue should have chosen someone more sincere to do this video.","Vogue"
"fuck you vogue","Vogue"
"OMG how vogue dare to present a video so disrespectful shame on you.","Vogue"
"Marie Kondo, please come to my house. I'll treat you like royalty :)","Vogue"
"Marie Kondo's work invites gently to confrontation with ourselves through our objects and explains in detail how that is an inner dialogue. The person in the video looks sad, tired, dispirited, mocking and says of his own things ... ""death execution"" !? It really is a shame that have cited such a friendly and human person as Marie to make this video. Horror, Vogue.","Vogue"
"Wow, she was being pretty rude and disrespectful. ""Oh we got some Japanese maid coming over, she doesn't speak English so whatever, let's get this over with"" was the tone I got from this...","Vogue"
"I know it might sound silly to say ""thank you"" to those clothes you no longer need, but when you pause for a moment to realize that you were blessed by having these items (and perhaps will bless someone else now), you feel positive.","Vogue"
"this ""host"" needing help is rude af. shouldve left the room a mess. probably will be soon with that attitude.","Vogue"
"Obnoxious.  She is not funny at all if that was what she was aiming at.  Sorry that Marie wasted her time dealing with this chick.","Vogue"
"Surprised the Vogue communications team let this get published. It's disrespectful and off brand.","Vogue"
"I agree with the comments. You sounded quite rude and disrespectful. Almost like making fun of Marie for welcoming the house and saying thank you to the clothes. She does that for a reason- maybe read the book. So many people would love to have the opportunity to have Marie help them. It's pronounced ""Ma-ri-eh"" like in Japanese.","Vogue"
"I am utterly obsessed with Vogue's YouTube channel.","Vogue"
"Cant stand this. She's being immature and rude. Atleast show some respect. I dont even know why Vogue uploaded this, it should be neutral and doesnt just focus on one person's opinion/point of view. Especially if its coming from someone ignorant. The reason Marie asked her to say thank you to her old clothes so that she feel thankful and grateful spiritually. I dont get why she have to say thank you in Japanese clearly she's just making fun of this. We learn nothing from this video but negativity. Vogue please just delete this video.","Vogue"
"Hilarious video! People need to stop being offended in the comments for Marie. I'm sure she can hold her own without your help. Get a life!","Vogue"
"I too find the behavior of this vogue editor rather rude and disrespectful. I would advise all of you who feel the same way, which taken by the comments seems to be a great amount of people, to report this video for ""hateful or abusive content"" / ""promoting hatred or violence"" as this should not make an example as to how one should deal with a foreign culture, or any human being, anyway.","Vogue"
"i hope you gave it more than a week. it takes longer than that to change habits.","Vogue"
"so rudeeee. you are so lucky to have this kind of access and help jfc","Vogue"
"Her house looks so amazing","Vogue"
"I really don't understand the flippant, privileged and pretty rude attitude that Chole directs at Maire Kondo. It's so off-putting.","Vogue"
"i dont like this video. this woman shows NO respect for all the hard work marie has done to develope her method. neither she makes an effort to understand her and the meaning of her actions. she looks like an ignorant yankee that came from a distant farm and thinks has no need to understand other's culture just because she's from the US.","Vogue"
"Great <3","Vogue"
"Guys please go check out my vlog at Devon house and Carib in Jamaica. Thnx","Vogue"
"Are you trying to come off as funny, Vogue ?? Since when acting like a surly teenager is cute? Disrespectful!!!","Vogue"
"Don't give it a week, the KonMarie experience actually works!","Vogue"
"Just bought her book!","Vogue"
"Ahhhh you Americans and your lack of understanding for sarcastic humor😂 (Not all Americans though ofcorse)","Vogue"
"I love the end when she said 'I'm gonna give it a week'!","Vogue"
"She said I give a week. If she was serious with tidying up and just to make a video, then a rebound should not happen.","Vogue"
"Hahaha love this! Arigato 🙏🏽","Vogue"
"I agree with everyone, whatever humor that Chloe was scripted to do or is her natural personality, came off extremely condescending. ""Arigato...thank you very much... uh gozaimasu.."" Her tone seemed as though she wasn't enthusiastic to have a organization guru, who has helped many people with her method, to organize her closet and seemed to look down on Marie as a foreigner with a different culture. When Marie asks her to thank the piece of clothing you can see Chloe look back at the camera like Marie is crazy. I've read that many celebrities use the KonMari method and Vogue should have recruited the to make this video.","Vogue"
"I found Chloe's tone to be both unprofessional and rude. She spoke as if she hadn't even read Marie Kondo's book. Vogue, if this is the caliber of your editors then I think your standard is dropping.","Vogue"
"Pray for the house, thank to clothes. She has Shinto mind. I like her method.","Vogue"
"Agree with commenters. This is in poor taste.","Vogue"
"こんまりさん！！♥","Vogue"
"Rude","Vogue"
"I'm so proud of her as a Japanese:)","Vogue"
"I love him so much ugh","Vogue"
"OK, but who was the black boy with the blonde afro???","Vogue"
"Why is he so fucking perfect holy fuck.
Boom i'm pregnant","Vogue"
"He is a trump supporter fyi","Vogue"
"am i the only one who finds it weird when girls chase after celebrities' cars... like.....","Vogue"
"oh my god this poor kid - the fans are like rabid animals","Vogue"
"I think he looks better with his hair dark blonde instead of platinum.","Vogue"
"I love you Lucky 😍😍😍😍","Vogue"
"Anyone know the name of the model with the Afro who echoed him?","Vogue"
"He's such so perfect😻","Vogue"
"He's smokin 😳❤️❤️❤️😂😍😍😍","Vogue"
"it's 2016 though, why is the video quality still bad, was this all taken by the front camera","Vogue"
"Seems pretty awesome to be good-looking.","Vogue"
"how do you not love this tol bean","Vogue"
"I feel deep Zoolander (or Hansel, since he's a blond) vibes everytime I watch him.","Vogue"
"Fangirls be like zombie apocalypse level terrifying. @-@","Vogue"
"Isn't he too tall to be a model? How many dicks he gotts suck anyway","Vogue"
"Rumour says he supports Trump. What a turn off...","Vogue"
"Fan girls are fucking crazy!","Vogue"
"women are really that pathetic to chase even cars for a person....wow..still dont get that part of humanity.","Vogue"
"ㅎ","Vogue"
"tbh I would fucking cut a bitch if those annoying girls screamed at me all the time and chased my cat","Vogue"
"Nobody's perfect but to me he is perfect. His looks, his voice, his personality👌🏽","Vogue"
"Those girls remind me of kpop crazy fans who chase around their idol's car haha and i am one of them","Vogue"
"Omg and to think that i have spoken to him before he was famous..","Vogue"
"best part: be carefull please be carefull.. wuhahahahahahahahahaha","Vogue"
"omg girls can be embarrasing at times","Vogue"
"Holy shit teenage girls are the worst!","Vogue"
"Okay, idk y but i didnt like him but i gotta admit.... HE IS F...ING TALL !!!! EVEN I WANT TO BE TALL","Vogue"
"He is sooooooooo ugly , my god","Vogue"
"Lucky should be a bit more conscious with what's he's putting in his body. Coke, yunk food, etc etc. Need to persevere that beautiful face and body he has.","Vogue"
"Why are girls so obsessed? He's just a guy who happens to be a male model...","Vogue"
"CAMERON DALLAS .. honestly though. he does look like him IMO","Vogue"
"If this was about a female model, she wouldn't be aloud to eat junk food.","Vogue"
"From the thumbnail, I thought it was a female model.","Vogue"
"Luckyyyyy!","Vogue"
"so overrated","Vogue"
"""Please be careful! Please be careful!"" ok that was cute","Vogue"
"he is so careing to his fans love him.👌😍","Vogue"
"he seems really sweet and down to earth :3","Vogue"
"I think if he was just called John or Chris no-one would pay any attention to him! He's sweet but I thought he was Frida Gustavvson.","Vogue"
"He looks female?? I honestly think many, many girls must want to be with other girls because the men they seek out look female!","Vogue"
"David Bowie","Vogue"
"Is it that deep? I swear there's other models ya know. I love lucky but people need to chill","Vogue"
"This is like when Smith Jerrod from Sex and the City was the Absolut Hunk LOL","Vogue"
"""Here's What It's Like To Be Adored"" 
Can't hate though","Vogue"
"Please just stop","Vogue"
"Omg at first I thought he was Edie Campbell😙","Vogue"
"What a pretty boy! :D","Vogue"
"Don't understand the hype...","Vogue"
"oh my god girls calm yourselves he's like 15 or something","Vogue"
"His voice is so dreamy","Vogue"
"i don't like the crazy fans but i like lucky","Vogue"
"My ovaries","Vogue"
"loool","Vogue"
"No idea who he is, but handsome","Vogue"
"He's so humble, and so nice to his fans","Vogue"
"I don't get it, who is this guy?","Vogue"
"How does he eat so much","Vogue"
"Does he act? Has he ever considered it? He looks a lot like the image I have of one of my novel's characters...","Vogue"
"Damn, I want Michael Lockley's hair...","Vogue"
"We dont ... we don't care.","Vogue"
"Will you do a 73 Questions again soon?","Vogue"
"Omg crazy teenage girls","Vogue"
"Your title is laughable, Vogue.","Vogue"
"Yawn","Vogue"
"crying because I'll never be as pretty as lucky blue smith (no but really how is he so pretty)","Vogue"
"when is he getting his nose fixed","Vogue"
"<3333 ugh I wish I could meet him so badly","Vogue"
"He is beautiful though.","Vogue"
"Girls are so annoying omg","Vogue"
"""the world’s biggest male model"" lmao","Vogue"
"ah. that guy i see on tumblr all the time.","Vogue"
"I'm in love","Vogue"
"Another amazing video!!","Vogue"
"I love DVF very much ❤️😍❤️!","Vogue"
"this video suppose to be better when the cameraman understand camera angle more detail","Vogue"
"Hanging out all models.     :D","Vogue"
"Truly a fan!","Vogue"
"theme song?","Vogue"
"she is just too cool","Vogue"
"What a great concept. Justly live in the clothes!","Vogue"
"fantastic love!","Vogue"
"Gigi hadid <3 Probably the best DVF show in a couple of years. One of my favorite shows.","Vogue"
"creative! i love this","Vogue"
"Guys plz remember to go check out my vlog at Devon house and Carib in Jamaica. Thnx","Vogue"
"Karlie Kloss!!","Vogue"
"OBSESSED!!! As always","Vogue"
"elsa and taylor are my favorite","Vogue"
"this gold one!!!!! N*1","Vogue"
"so cool....!!!!!","Vogue"
"i love what diane is representing !!","Vogue"
"DVFs fashion is high level, also the exhibitions so unique!","Vogue"
"One of the BEST fashion shows/exhibitions I've ever seen in my entire life 😍😍😍😍","Vogue"
"DVF is such a boss!","Vogue"
"I dont like Lily Aldridge...she is not tall, she cant walk and she cant do high fashion","Vogue"
"Who is that at 0:14?","Vogue"
"i love DVF - always using vegan leather and faux fur very progressive and inspiring","Vogue"
"Elsa Hosk <3","Vogue"
"Love, love, love DVF!","Vogue"
"Just Karlie Kloss..<3","Vogue"
"Taylor Hill<333","Vogue"
"Vogue","Vogue"
"not a fan","Vogue"
"so gooood","Vogue"
"I really enjoyed this collection.","Vogue"
"How can you get tickets for this?","Vogue"
"I am constantly waiting for them to actually do a collection that deserves the amount of attention they get. When will we stop supporting mediocrity? They have never done anything worth the amount of attention they get. There are thousands of other designers with more interesting/original ideas who do not get an 1/8th of the attention these two receive and I just dont understand it? As a consumer and someone who follows fashion closely i'm constantly smh.","Vogue"
"Maybe I'm reading too much into body language... but I can't help but feel that they were really tight at one point but now there's bad blood between them???","Vogue"
"Wherever.......","Vogue"
"public school always comes through with such great collections!!","Vogue"
"So many of these are just absolutely breathtaking. I love Oscar de La Renta.","Vogue"
"I luv La Renta work of Art.. Plus guys plz go check out my vlog at Devon house and Carib in ja. Thnx","Vogue"
"What's the music in the beginning?","Vogue"
"The skirts are beyond beautiful absolutely adore this wearable collection among all ages well done!!!!!!!!!!!!!!!!!!!!!!!","Vogue"
"so beautiful !! favourite collection of the week","Vogue"
"Elegant, sophisticated and gorgeous!!","Vogue"
"Stunning, love it.","Vogue"
"beautiful and elegant pieces. .. this wearable art","Vogue"
"What a sweet man! He really cares about the history of the brand and I really like that:)","Vogue"
"amazing! it never gets old!","Vogue"
"Loved them aaaaaall","Vogue"
"There were some great pieces but some I did not care for... Some dresses should not have been in the collections, it was distracting. Some fabric clashed with others. A little confusing. 🤓","Vogue"
"i like that they stay consistent but always bring something new to the table
beautiful","Vogue"
"Oscar's pieces are just so elegant and beautiful!","Vogue"
"These pieces are absolutely gorgeous and unlike the majority of the other designers', the clothes are actually wearable. You can wear these in public without the 'wtf' stares. 
Oscar de La Renta never lets me down.","Vogue"
"I am living for these pieces. Beautiful","Vogue"
"NYFW looks so cheap and gettho with to much street wear and bad lighting and show place","Vogue"
"Fall NYF16","Vogue"
"She didnt mention Chanel, Dior, Louis Vuitton n Gucci at all ...wow","Vogue"
"Wow!!!","Vogue"
"what show is at 0:20? please i need to know.","Vogue"
"Who's the first model?","Vogue"
"proenza schouler this season!!!!","Vogue"
"Yessss Anna you tell them bitches","Vogue"
"anna wintour be like: nah
fashion designers: *go change everything*","Vogue"
"Anna Wintour farts entire world screams perfume :P","Vogue"
"Queen❤️","Vogue"
"Anna needs to condition me. #mentorgoals","Vogue"
"you know, that bitch really does think about everything when it comes to the fashion industry, i appreciate the fact that she at least is willing to bring up and discuss these topics/issues","Vogue"
"No Yeezy,  Ana? 😉","Vogue"
"Proenza and Rodate were clearly the best shows of the season. Honourable mention to Marchaesa just because every single piece that came down that runway was STUNNING!","Vogue"
"I agree with Anna entirely on being a little let down by the shows this season. There were only a handful that really stood out and the rest were just kind of blah. I'm hoping for some stand out collections to come out of Milan and Paris; fingers crossed!","Vogue"
"I mean obviously there is a lot of work to be done when it comes to diversity, but I think Zac Posen and HBA have helped push it along!","Vogue"
"ANNA WINTOUR KILLED THE ZOOLANDER CAMEO, ily","Vogue"
"the collections are look so similar at the moment!!!! there is a major different between a trend ( a thread that runs through a season) to hundreds of collections that merge into a monochrome, sporty, minimalistic blur","Vogue"
"the best shows were proenza schouler, 3.1 phillip lim and derek lam

worst goes to vera wang and marc jacobs and fenty","Vogue"
"Did I hear the word TREND? Wasn't this fake creature saying that she does not believe in trends? Haha well I guess it is her nature - to LIE","Vogue"
"Who the hell wears these clothes??😼","Vogue"
"I'm sorry but there was NOT diversity on the runway this season again. It's completely hurtful rhetoric to say there was when there clearly wasn't. Just because Lineisy Montero walked your show doesn't make it diverse...","Vogue"
"Huge placement marketing","Vogue"
"Fashion!Flowers! Manhattan! Fabulous!","Vogue"
"Isn't this a satanic holiday? May 1st?","Vogue"
"Anna, I am a close friend of yours, would you put me on the guest list too next time? *fingers crossed*
*hope she'll believe that hehe*","Vogue"
"I hate her she's so annoying ewwwww","Vogue"
"Watched it on Netflix. It was really interesting. Now I don’t have to go.🤷🏻‍♀️","Vogue"
"1:10 andy sachs","Vogue"
"""OK can he not be on his cellphone the entire time then?""
""Uh unclear...""","Vogue"
"GUYS ITS ON NETFLIX INSTANT STREAMING! I'M DYING OF JOYY!!!","Vogue"
"i want to see this with every fiber of my being.","Vogue"
"""Okay, can you not be on his cellphone an entire time now?"" the amount of authority injected in that sentence is just overwhelming lol","Vogue"
"i just finish the film, i cry","Vogue"
"Really looking forward to seeing this film on Thursday at the Left Bank here in Leeds.","Vogue"
"love the artistry and creativity.  could do without the self worship.","Vogue"
"I was really excited about watching the documentary since I'm working on my thesis which is about fashion and I also visited C
China through the looking glass in May 2015. And after watching them prepare so thoroughly they invited a bunch of rich in most cases uneducated people who would never be able to appreciate and connect to the whole thing the way their team did. I mean Rihanna, as popular and beautiful as she is, almost made my eyes and ears bleed when she chose to sing bitch better have my money on that stage, and Justin Bieber howling in one of the rooms. I mean it spoils everything, their attitude and ridiculous comments. Somehow those 800 000 people who came to the exhibition after them seem to me  more appreciative and perceiving, than most of Wintour's guests. But they did raise a lot of money, so I guess it's like fashion - there has to be a balance between art and commerce.","Vogue"
"this movie is PERFECTION <3","Vogue"
"I'd rather be in Wetherspoons","Vogue"
"Can someone link me to a more detailed shot of the white dress at 2:15 ?","Vogue"
"i heard the met gala wasn't as good as it's hyped to be......a few people have said it's boring.","Vogue"
"Thanks... Trash will be trash... no matter the price tag. From a REAL designer.","Vogue"
"Andrew reminds me of Yves Saint Laurent.","Vogue"
"Just another annual gathering of pimps.","Vogue"
"Looks like thee party one should attend in their lifetime.","Vogue"
"Please, does anyone know who's the lady with the filmy light blue dress that's going upstairs to the left at minute 2:14 ??? 
Thanks !","Vogue"
"Name of designer at 1:00 pls","Vogue"
"where I can watch the documentary someone pass me link","Vogue"
"Bunch of people spending too much on irrelevant shit with no purpose to help society. that's priorities are messed up...","Vogue"
"😍😍😱😱😱✨✨✨","Vogue"
"Fashion was never supposed to be about what's in. that's what trends are for. I will still see the movie but Fashion loses a little glimmer every year when the reality shows and pop tarts are let in. Anna is no fool but don't sacrifice tradition for this.","Vogue"
"Saw this at the cinema tonight, brilliant film!","Vogue"
"anyone got a link to it online (english)","Vogue"
"I'm probably not the first one to say it, but the Met Gala is the ugliest face of fashion: a bunch of over-paid and over-privileged people wearing ridiculous dresses resembling glittery shower curtains. Instead of something as tasteful as Capote's Black and White Ball, we get to see Anna Wintour's display of tacky fashion victims flaunting their new boobjobs.","Vogue"
"wow can't wait...","Vogue"
"The installation is in the basement of the Met (Anna Wintour Center), pretty tacky if you have ever been to one and the Met should be put on notice for allowing people to smoke.","Vogue"
"Anna Wintour’s Swanky Met Ball Loses $3 Million Catering to All Those Celebrities
http://www.showbiz411.com/2016/05/02/anna-wintours-swanky-met-ball-loses-3-million-catering-to-all-those-celebrities","Vogue"
"Let them eat cake!  
Elitist assholes.","Vogue"
"Who is that hideous yenti? I thought Halloween came in October.","Vogue"
"when you see your fave, Rihanna in the first 10 seconds >>>>>>","Vogue"
"Rih🔥","Vogue"
"Dayyuummm all of andrew's Thom Browne outfits are to die for","Vogue"
"Anna is a Joe Coffee person! Amazing!","Vogue"
"Sarah's on it!","Vogue"
"so while people are starving and fighting to make ends meet, these people remind me of the ruling class in the capital from the Hunger Games","Vogue"
"I lost all the respect that I had for Anna Wintour when she decided to rub shoulders with the Kardashians (and Kanye) and allowing them to go to the MET Gala and being on the cover of Vogue. It saddens me that a woman that I thought was classy and sophisticated gave in and instead of giving a voice to people that matter and actually have talent, just mixes with classless women without any talent that are only famous because of a tape and for showing constantly how vulgar they are in social media. Remarkable women fought really hard throughout history for women's rights and look what happened and what examples we have now. This type of people should not be given coverage but I guess Anna Wintour is just like them. I do not buy Vogue magazines anymore and I lost all the respect that I had for Anna Wintour but I guess my opinion is irrelevant as I am a nobody compared to the Kardashians, right?","Vogue"
"cool but completely irrevelant to people who dont attend. what does the met ball do besides exclude the less famous?","Vogue"
"Rihanna owned the Met Gala that year hands down!","Vogue"
"When is the date release for méxico???","Vogue"
"i can't wait for it to be out","Vogue"
"Gives me a goosebumps! Can't wait.","Vogue"
"I want to see this ASAP!","Vogue"
"Genius","Vogue"
"Wow!!!","Vogue"
"I just cried a little ...","Vogue"
"Justin's: were gonna party tonight killed me","Vogue"
"Look, every first Monday in May is The Rich Bastard's Ball.  This is an event where people are at their glitziest to see who can be the most fashionable.  So look alert and be moved!","Vogue"
"wait wait wait","Vogue"
"when is this gonna be out","Vogue"
"How can these people take themselves seriously?","Vogue"
"Can't stop watching this trailer","Vogue"
"counting the seconds like they're threads pero squared inch.","Vogue"
"OMFG!!!","Vogue"
"amazing","Vogue"
"when is this coming out?","Vogue"
"Vogue is stupid. What it shows to people is not real China style.The Met Ball is a joke.","Vogue"
"Anna also hands on move the table ? wow ..","Vogue"
"0:10 Rihanna omg","Vogue"
"I SO want to be a part of the team working for such event <3","Vogue"
"So a movie about creating a big event about ""authentic"" Chinese culture totally designed by white ppl lol ok","Vogue"
"Yeeeeeesssss! I've always wanted to know how this venues were created! It's amazing! Can't wait! And love Anna's vision, of course","Vogue"
"I don't get it, is this a movie? Whens gonna be out?","Vogue"
"this is scheduled for release on April 15, 2016","Vogue"
"🙌🏼 Can't Wait!!!","Vogue"
"OMG!! I can't wait!!","Vogue"
